EmployeeID,Name,JobRole,Salary,HireDate,Employed
1,Mirna Kleynen,Accounting Assistant I,$146100.65,7/14/2023,false
2,Rupert Britcher,Dental Hygienist,$176942.92,3/23/2023,true
3,Zebulen Grute,Human Resources Assistant I,$94488.73,10/30/2023,false
4,Kylen Hasson,Quality Engineer,$60645.18,11/20/2023,false
5,Rhody Cottie,Tax Accountant,$156434.14,10/7/2023,true
6,Queenie Crates,Cost Accountant,$181826.31,11/30/2023,false
7,Marve Gavini,Teacher,$177605.93,2/21/2023,true
8,Renell Cotta,Physical Therapy Assistant,$133846.91,7/11/2023,true
9,Emilie Cattanach,Geological Engineer,$163135.59,7/8/2023,true
10,Legra Liptrot,GIS Technical Architect,$198167.98,5/30/2023,false
11,Justinian Brimble,Computer Systems Analyst IV,$142859.90,9/14/2023,true
12,Dan Gostling,Senior Developer,$86453.52,5/19/2023,false
13,Elane Knutsen,Editor,$82732.74,6/13/2023,true
14,Hedy Bundock,Health Coach III,$176735.16,2/7/2023,true
15,Riccardo Iannetti,Nuclear Power Engineer,$72679.84,7/19/2023,false
16,Inessa Belhome,Editor,$131484.15,9/21/2023,true
17,Willa Scibsey,Actuary,$93851.75,9/25/2023,false
18,Nani Domico,Senior Financial Analyst,$86478.99,10/22/2023,false
19,Merissa Jocic,Chemical Engineer,$126576.52,3/2/2023,true
20,Ellwood Bugdale,Information Systems Manager,$131036.26,9/1/2023,false
21,Garvy Buckell,Financial Analyst,$126455.33,7/8/2023,true
22,Natka Champken,VP Accounting,$64811.85,7/27/2023,false
23,Yorker Andri,Project Manager,$170386.36,5/13/2023,true
24,Hunfredo Corter,Information Systems Manager,$198841.94,8/31/2023,false
25,Cletis Alvarado,Business Systems Development Analyst,$158587.76,10/13/2023,true
26,Perle Kybird,Occupational Therapist,$143678.35,2/7/2023,false
27,Selie Ruffle,Legal Assistant,$65664.46,3/16/2023,false
28,Arnaldo Covington,GIS Technical Architect,$57702.60,2/17/2023,false
29,Earl Letch,Health Coach III,$179790.22,3/28/2023,false
30,Jacquie Dugood,Payment Adjustment Coordinator,$96326.70,11/25/2023,false
31,Tine Sitford,Civil Engineer,$174553.23,5/25/2023,false
32,Cob Eccleshare,Research Associate,$193434.98,7/30/2023,true
33,Phedra Probert,Financial Advisor,$106185.55,7/12/2023,true
34,Lorilee Najera,Environmental Tech,$90459.28,3/28/2023,true
35,Kathrine Pearsall,Pharmacist,$171832.94,9/26/2023,true
36,Evania Dyne,Senior Financial Analyst,$177560.11,8/28/2023,true
37,Verile Harmon,Business Systems Development Analyst,$54027.76,4/17/2023,false
38,Phyllis Prestie,Environmental Specialist,$92531.25,12/16/2023,false
39,Braden Tommasetti,Dental Hygienist,$111610.51,1/4/2024,false
40,Ted Blabie,Design Engineer,$174171.93,9/2/2023,true
41,Curcio Luker,Account Executive,$125746.39,8/13/2023,false
42,Janelle Arro,Account Executive,$63014.76,3/8/2023,false
43,Antonio MacCawley,Structural Analysis Engineer,$137850.99,5/30/2023,false
44,Inesita Cornill,VP Sales,$111003.16,8/15/2023,true
45,Blane Matuszewski,Analog Circuit Design manager,$92108.42,6/12/2023,true
46,Zaneta Wenden,Electrical Engineer,$162713.77,9/25/2023,false
47,Miller Geekie,Social Worker,$147411.88,9/20/2023,false
48,Sibby Hurst,Safety Technician IV,$151950.96,9/14/2023,true
49,Wood Tassaker,Senior Financial Analyst,$164484.57,3/13/2023,false
50,Aileen Meriel,Senior Developer,$111791.18,12/30/2023,true
51,Maryl Hiddy,Executive Secretary,$148362.74,7/2/2023,true
52,Leilah Firbanks,Teacher,$95047.55,5/27/2023,false
53,Wayland Chase,Electrical Engineer,$148025.42,9/14/2023,true
54,Gavrielle Grzes,Payment Adjustment Coordinator,$190707.18,4/26/2023,false
55,Ferrel Stillert,Quality Control Specialist,$52240.77,9/27/2023,true
56,Marty Brucker,Human Resources Assistant III,$57853.39,6/21/2023,true
57,Ervin Feldklein,Recruiting Manager,$144475.59,4/14/2023,true
58,Jacquette Gascard,Senior Editor,$192609.03,5/14/2023,false
59,Hanson Lewcock,Senior Financial Analyst,$147557.96,8/2/2023,true
60,Nicolai Pond-Jones,Environmental Tech,$59408.29,4/21/2023,true
61,Hally Fozzard,Project Manager,$75318.42,1/7/2024,false
62,Tiphany Roughey,Web Developer I,$182483.15,3/20/2023,true
63,Arnuad Ciobutaro,Cost Accountant,$162682.23,12/29/2023,true
64,Pippy Cheke,Community Outreach Specialist,$112378.11,1/10/2024,false
65,Adena Chezelle,Safety Technician II,$196528.87,1/7/2024,true
66,Jock Rilston,Compensation Analyst,$115066.41,12/6/2023,true
67,Dolli Wingrove,Research Associate,$184657.46,10/11/2023,false
68,Shem Speere,Project Manager,$65627.45,11/13/2023,false
69,Menard Eberz,Nuclear Power Engineer,$56168.53,8/25/2023,false
70,Elmo Furzey,Systems Administrator I,$177141.58,11/25/2023,false
71,Margie Hainge,Software Test Engineer III,$69937.87,6/9/2023,true
72,Licha Ferney,Analog Circuit Design manager,$76931.03,4/26/2023,true
73,Orelee Paolucci,Senior Financial Analyst,$196439.62,1/15/2023,false
74,Corrianne Derges,Assistant Professor,$77838.30,11/3/2023,false
75,Berkeley Glader,Help Desk Operator,$55778.34,2/2/2023,true
76,Rolf Beavors,Quality Engineer,$165960.72,11/21/2023,false
77,Cirstoforo Rittelmeyer,Director of Sales,$138941.19,10/31/2023,false
78,Joannes Demangeot,Programmer Analyst I,$187007.35,7/31/2023,true
79,Bowie Klemmt,VP Quality Control,$169978.10,10/25/2023,false
80,Karel Stiggles,Software Consultant,$144874.45,9/25/2023,true
81,Wallache Darthe,Project Manager,$186929.42,9/26/2023,true
82,Edita Onele,Mechanical Systems Engineer,$67914.98,6/22/2023,false
83,Elysha Brothwood,Payment Adjustment Coordinator,$197476.48,5/16/2023,false
84,Shoshanna Skpsey,Nurse,$134448.23,1/4/2024,false
85,Cathee Sporton,Internal Auditor,$51947.03,6/4/2023,true
86,Arron Allerton,Operator,$139279.88,3/1/2023,false
87,Morgun Frankling,Paralegal,$61862.42,6/16/2023,true
88,Ilise Scare,Dental Hygienist,$56849.67,2/11/2023,false
89,Barron Whipp,Research Nurse,$97866.82,1/11/2023,true
90,Scottie Beesley,Mechanical Systems Engineer,$55776.68,4/30/2023,true
91,Greg Dalby,Design Engineer,$67423.05,3/15/2023,true
